	LING. ISSUE	QUESTION	SOURCE	NRC PBMT	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)	REFERENCE (Pierre's translation)
S12a	Lex-Syn 6: NP to VP	Is the English "NP to VP" complement correctly rendred in the French translation? (Sometimes one needs to translate this structure as a finite clause).	John believes [Bill to be dishonest].	John estime [que le projet de loi soit malhonnête].	John estime [que le projet de loi d'être malhonnête].	John croit [que le projet de loi est malhonnête].	John croit [que Bill est malhonnête].	John croit [que Bill est malhonnête].
S12b			He liked [his father to tell him stories].	Il aimait [son père pour lui raconter des histoires].	Il aimait [son père pour lui raconter des histoires].	Il aimait [son père pour lui raconter des histoires].	Il aimait [son père à lui raconter des histoires].	Il aimait [que son père lui raconte des histoires].
S12c			She wanted [her mother to let her go].	Elle voulait [que sa mère de lui laisser aller].	Elle voulait [que sa mère de la laisser aller].	Elle voulait [que sa mère la laisse faire].	Elle voulait [que sa mère la laisse partir].	Elle voulait [que sa mère la laisse partir].
								
S13a	Lex-Syn 7: Factitives	Is the English verb correctly rendered in the French translation? (Agentive use of some French verbs require embedding under "faire").	John [cooked] a big chicken.	John [cuit] un gros poulet.	Un gros poulet [cuit] john.	John [cuit] un gros poulet.	John a [fait cuire] un gros poulet.	John a [fait cuire] un gros poulet.
S13b			John [melted] a lot of ice.	John [fondu] a lot of ice.	John a [fondu] beaucoup de glace.	John a [fondu] beaucoup de glace.	John a [fondu] beaucoup de glace.	John a [fait fondre] beaucoup de glace.
S13c			She likes to [grow] flowers.	Elle aime à se développer des fleurs.	Elle aime à cultiver des fleurs.	Elle aime à cultiver des fleurs.	Elle aime [faire pousser] des fleurs.	Elle aime [faire pousser] des fleurs.
								
S14a	Lex-Syn 8: Noun Compounds	Is the English nominal compound rendered with the right preposition in the French translation?	Use the meat knife.	Utilisez le couteau [de] viande.	Utilisez le couteau [de] viande.	Utilisez le couteau [à] viande.	Utilisez le couteau [à] viande.	Utilisez le couteau [à] viande.
S14b			Use the butter knife.	Utilisez le couteau [à] beurre.	Utilisez le couteau [à] beurre.	Utilisez le couteau [au] beurre.	Utilisez le couteau [à] beurre.	Utilisez le couteau [à] beurre.
S14c			Use the steak knife.	Utilisez le steak [] couteau.	Utilisez le couteau [à] viande.	Utilisez le couteau [à] steak.	Utilisez le couteau [de] steak.	Utilisez le couteau [à] steak.
S14d			Clean the water filter.	Nettoyez le filtre [à] eau.	Nettoyez le filtre [à] eau.	Nettoyez le filtre [à] eau.	Nettoyez le filtre [à] eau.	Nettoyez le filtre [à] eau.
S14e			Clean the juice filter.	Nettoyez le filtre [de] jus.	Nettoyez le filtre [de] jus.	Nettoyez le filtre [de] jus.	Nettoyez le filtre [à] jus.	Nettoyez le filtre [à] jus.
S14f			Clean the tea filter.	Nettoyez le filtre [à] thé.	Nettoyez le filtre [à] thé.	Nettoyez le filtre [de] thé.	Nettoyez le filtre [à] thé.	Nettoyez le filtre [à] thé.
S14g			Clean the cloth filter.	Nettoyez le filtre [en] tissu.	Nettoyez le filtre [en] tissu.	Nettoyez le filtre [en] tissu.	Nettoyez le filtre [en] tissu.	Nettoyez le filtre [en] tissu.
S14h			Clean the metal filter. 	Nettoyez le filtre [en] métal.	Nettoyez le filtre [en] métal.	Nettoyez le filtre [en] métal.	Nettoyez le filtre [métallique].	Nettoyez le filtre [en] métal.
S14i			Clean the paper filter.	Nettoyez le filtre [en] papier.	Nettoyer le filtre [à] papier.	Nettoyez le filtre [en] papier.	Nettoyez le filtre [à] papier.	Nettoyez le filtre [en] papier.
								
S15a	Lex-Syn 9: Common idioms	Is the English idiomatic expression correctly rendered by an equivalent French idiomatic expression?	Stop [beating around the bush].	Cesser de [battre la campagne].	Cesser de [battre la campagne].	Arrêtez de [battre autour de la brousse]. 	Arrêter de [tourner autour du pot].	Cessez de [tourner autour du pot].
S15b			You are [putting the cart before the horse].	Vous pouvez [mettre la charrue avant les bœufs].	Vous êtes en train de [mettre la charrue avant les bœufs].	Vous [mettez la charrue avant le cheval].	Vous [mettez le chariot devant le cheval].	Vous [mettez la charrue devant les bœufs].
S15c			His comment proved to be [the straw that broke the camel's back].	Son commentaire s'est révélé être [la goutte d'eau qui fait déborder le vase].	Son commentaire s'est avéré être [la goutte d'eau qui fait déborder le vase].	Son commentaire s'est avéré être [la paille qui a brisé le dos du chameau].	Son commentaire s'est avéré être [la paille qui a cassé le dos du chameau].	Son commentaire s'est avéré être [la goutte d'eau qui a fait déborder le vase].
S15d			His argument really [hit the nail on the head].	Son argument a vraiment [mis le doigt dessus].	Son argument a vraiment mis le doigt dessus.	Son argument a vraiment [frappé le clou sur la tête].	Son argument a vraiment [frappé le clou sur la tête].	Son argument a vraiment [fait mouche].
S15e			It's [no use crying over spilt milk].	[Ce n'est pas de pleurer sur le lait répandu].	[Ce n'est pas de pleurer sur le lait répandu].	[Il ne sert à rien de pleurer sur le lait haché].	[Ce qui est fait est fait].	[Ce qui est fait est fait].
S15f			It is [no use crying over spilt milk].	[Il ne suffit pas de pleurer sur le lait répandu].	[Il ne suffit pas de pleurer sur le lait répandu].	[Il ne sert à rien de pleurer sur le lait écrémé.	[Il est inutile de pleurer sur le lait répandu].	[Ce qui est fait est fait].
								
S16a	Lex-Syn 10: Syntactically flexible idioms	Is the English idimatic expression correctly rendered in French in spite of the fact that it appears in a less basic syntactic guise?	The cart has been put before the horse.	On [met la charrue devant le cheval].	On met [la charrue avant les bœufs].	Le [chariot a été mis avant le cheval].	Le [chariot a été mis devant le cheval].	La [charrue a été mise devant les bœufs].
S16b			With this argument, [the nail has been hit on the head].	Avec cette argument, [l'ongle a été frappée à la tête].	Avec cette argument, [l'ongle a été frappée à la tête].	Avec cet argument , [l'ongle a été touché à la tête].	Avec cet argument, [le clou a été frappé sur la tête].	Avec cet argument, [la cause est entendue].
								
S17 a	Syn 1: Yes-no question syntax	Does the marked portion of the French translation constitutes a syntactically correct rendering of the corresponding part of the English source?	[Have the kids] ever watched that movie?	[Les enfants] jamais regardé ce film?	[Les enfants ont] jamais regardé ce film?	[Les enfants ont-ils] déjà regardé ce film?	[Les enfants ont-ils] déjà regardé ce film?	[Les enfants ont-ils] déjà vu ce film?
S17b			[Hasn't your boss denied you] a promotion? 	[N'a pas nié votre patron vous] un promotion?	[N'a pas nié votre patron vous] un promotion?	[Est-ce que votre patron vous a refusé] une promotion ?	[Votre patron ne vous a-t-il pas refusé] une promotion?	[Votre patron ne vous a-t-il pas refusé] une promotion?
S17c			[Shouldn't I attend] this meeting?	[Ne devrais-je pas assister] à cette réunion?	[Ne devrais-je pas assister] à cette réunion?	[Est-ce que je ne devrais pas assister] à cette réunion?	[Ne devrais-je pas assister] à cette réunion?	[Ne devrais-je pas assister] à cette réunion?
								
S18a	Syn 2: Tag questions	Is the "tag question" part of the English source correctly rendered in the French translation?	Mary looked really happy tonight, [didn't she]?	Marie a regardé vraiment heureux de ce soir, [n'est-ce pas elle] ?	Marie semblait très heureux ce soir, [n'a pas elle]?	Mary s'est montrée vraiment heureuse ce soir, [ne l' a pas fait] ?	Mary avait l'air vraiment heureuse ce soir, [n'est-ce pas]?	Mary avait l'air vraiment heureuse ce soir, [n'est-ce pas]?
S18b			We should not do that again, [should we]?	Nous ne devrions pas faire qu'une fois encore , [faut-il]?	Nous ne devrions pas le faire de nouveau, [faut-il]?	Nous ne devrions pas le faire encore , [si nous] ?	Nous ne devrions pas recommencer, [n'est-ce pas]?	Nous ne devrions pas refaire cela, [n'est-ce pas]?
S18c			She was perfect tonight, [was she not]?	Elle était parfait ce soir, [elle n'était pas]?	Elle était parfait ce soir, [elle n'était pas]?	Elle était parfaite ce soir , n'était-elle pas?	Elle était parfaite ce soir, [n'est-ce pas]?	Elle était parfaite ce soir, [n'est-ce pas]?
								
S19a	Syn 3: WH-MVT and stranded preps	Is the "stranded preposition" part of the English source correctly rendered in the French translation? 	The guy [that] she is going out [with] is handsome.	Le mec [qu']elle va sortir [avec] est beau.	Le mec [qu']elle va sortir, c'est beau.	Le mec [qu'] elle sort [avec] est beau.	Le mec [avec qui] elle sort est beau.	Le type [avec qui] elle sort est beau.
S19b			[Whom] is she going out [with] these days?	[Qu']est-ce qu'elle allait sortir [avec] ces jours ?	[Qu']est-ce qu'elle allait sortir [avec] ces jours ?	[À qui] s' adresse ces jours-ci?	[Avec qui] sort-elle de nos jours?	[Avec qui] sort-elle ces jours-ci?
S19c			The girl [that] he has been talking [about] is smart.	La jeune fille [qu']il a parlé est intelligent.	La jeune fille [qu']il a parlé est intelligent.	La fille [qu'] il a parlé est intelligente.	La fille [dont] il a parlé est intelligente.	La fille [dont] il a parlé est brillante.
S19d			[Who] was he talking [to] when you left?	[Qui] est lui parler quand vous avez quitté?	[Qui] est lui parler quand vous avez quitté?	[Qui] a-t-il parlé [à] quand vous avez quitté ?	[Avec qui] il parlait quand vous êtes parti?	[À qui] parlait-il au moment où tu est parti?
S19e			The city [that] he is arriving [from] is dangerous.	La ville [qu']il est arrivé [de] est dangereuse.	La ville [qu']il arriverait à partir est dangereuse.	La ville [qu'] il est en train d' arriver est dangereuse.	La ville [d'où] il vient est dangereuse.	La ville [d'où] il arrive est dangereuse.
S19f			[Where] is he arriving [from]?	[Où] est-il arrivé?	[Où] est-il arrivé [de]?	[De quoi] s' agit-il ?	[D'où] vient-il?	[D'où] arrive-t-il?
								
S20a	Syn 4: Adverb-triggered inversion	Is the inverted auxiliary + subject of the English source correctly rendered in the French translation?	Rarely [did the dog] run.	Rarement [le chien courir].	Rarement [les chiens].	Il est rare [que le chien marche].	Rarement [le chien courir].	Rarement [le chien courait-il].
S20b			Never before [had she been] so unhappy.	Jamais auparavant , [si elle avait] été si malheureux.	[Elle] [n'a] jamais été aussi malheureux.	Jamais auparavant [n' avait] été si malheureuse.	Jamais [elle n'avait] été aussi malheureuse.	Jamais encore [n'avait-elle] été aussi malheureuse.
S20c			Nowhere [were the birds] so colorful.	Nulle part [les oiseaux] de façon colorée .	Nulle part [les oiseaux étaient] tellement coloré .	Les oiseaux ne sont pas si colorés .	Nulle part [les oiseaux] [étaient] si colorés.	Nulle part [les oiseaux] [n'étaient] si colorés.
								
S21a	Syn 5: Middle voice	Is the "generic passive" construction of the English source adequately rendered in the French translation"? (French "middle-voice" constructions)	Soup [is eaten] with a large spoon.	La soupe [est mangé] avec une grande cuillère.	La soupe [est mangé] avec une grande cuillère.	La soupe [est consommée] avec une grosse cuillère.	La soupe [est consommée] avec une grande cuillère.	La soupe [se mange] avec une grande cuillère
S21b			Masonry [is cut] using a diamond blade.	La maçonnerie [est coupé] à l'aide d'une lame de diamant.	La maçonnerie [est coupée] à l'aide d'une lame de diamant.	La maçonnerie [est coupée] à l'aide d'une lame de diamant.	La maçonnerie [est coupée] à l'aide d'une lame de diamant.	La maçonnerie [se coupe] avec une lame à diamant.
			Champagne [is drunk] in a glass called a flûte.	Le champagne [est ivre] dans un verre appelé une flûte.	Le champagne [est ivre] dans un verre appelé une flûte.	Le champagne [est ivre] dans un verre appelé flûte.	Le Champagne [est bu] dans un verre appelé flûte.	Le champagne [se boit] dans un verre appelé flûte.
								
S22a	Syn 8: Fronted "should"	Is the meaning of the fronted should construction correctly rendered in the French translation? ("Si" plus imperfect tense)	[Should] Paul leave, I would be sad.	[Si] [le congé] de Paul, je serais triste.	[] Paul [devrait] quitter, je serais triste.	[Si] Paul [quitte] , je serais triste.	[Si] Paul [s'en allait], je serais triste.	[Si] Paul [devait] s'en aller, je serais triste.
S22b			Should he become president, she would be promoted immediately.	[S']il [devait] devenir président , elle serait encouragée immédiatement .	[S']il [devait] devenir président , elle serait encouragée immédiatement .	[S'] il [devait] devenir président , elle serait immédiatement promue .	Devrait-il devenir président, elle serait immédiatement promue.	[S']il devait devenir président, elle serait immédiatement virée.
S22c			[Should] he fall, he would get up again immediately.	[S']il [devait] tomber, il allait se lever immédiatement de nouveau.	[S']il [devait] tomber, il allait se lever immédiatement de nouveau.	s' il tombe , il serait de nouveau immédiatement.	S'il tombe, il se lèvera immédiatement.	[S'] il venait à tomber, il se relèverait immédiatement.
								
S23a	Syn 2: Clitic pronouns	Are the English pronouns correctly rendered in the French translation?	She had a lot of money but he did not have [any].	Elle avait beaucoup d'argent mais il n'[en] avait pas.	Elle avait beaucoup d'argent mais il n'[en] avait pas.	Elle avait beaucoup d' argent , mais il n' a pas eu [d' argent].	Elle avait beaucoup d'argent mais il n'[en] avait pas.	Elle avait beaucoup d'argent mais il n'[en] avait pas.
S23b			He did not talk [to them] very often.	Il n'a pas [leur] parler très souvent.	Il n'a pas [leur] parler très souvent.	Il ne [leur] a pas parlé très souvent.	Il ne [leur] parlait pas très souvent.	Il ne [leur] parlait pas très souvent.
S23c			The men are watching [each other].	Les hommes [se] regardent les uns les autres.	Les hommes [se] regardent les uns les autres.	Les hommes [se] regardent les uns les autres.	Les hommes [se] regardent.	Les hommes [se] surveillent [l'un l'autre]
S23d			He gave [it] to the man.	Il [] a donné à l'homme.	Il [] a donné à l'homme.	Il [l'] a donné à l' homme.	Il [le] donna à l'homme.	Il [le] donna à l'homme.
S23e			He did not give [it ]to [her].	Il ne [] [lui] donner.	Il n'a pas [le] lui donner.	Il ne [l' ]a pas donné [à elle]. 	Il ne [] [lui] a pas donné.	Il ne [le] [lui] a pas donné.
								
S24a	Syn 3: Ordinal placement	Is the relative order of ordinals and numerals correct in the French translation)?	The [first four] men were exhausted. 	Les [quatre premiers] hommes étaient épuisés.	Les [quatre premiers] hommes ont été épuisés.	Les [quatre premiers] hommes ont été épuisés.	Les [quatre premiers] hommes étaient épuisés.	Les [quatre premiers] hommes étaient tous épuisés.
S24b			The [last three] candidates were eliminated.	Les [trois derniers] candidats ont été éliminés.	Les [trois derniers] candidats ont été éliminés.	Les [trois derniers] candidats ont été éliminés.	Les [trois derniers] candidats ont été éliminés.	Les [trois derniers] candidats ont été éliminés.
S24c			The other two guys left without paying.	Les [deux autres] mecs ont laissé sans payer.	Les [deux autres] gars laissés sans payer.	Les [deux autres] gars à gauche sans payer.	Les [deux autres] gars sont partis sans payer.	Les [deux autres] types sont partis sans payer.
								
S25a	Syn 4: Inalienable possession	Are the English possessive adjectives correctly rendered in the French translation?	He washed [his] hands.	Ils [se] lavait [les] mains.	Ils a lavé [les] mains.	Il a lavé [ses] mains.	Ils [se] lava [les] mains.	Ils [s']est lavé [les] mains.
S25b			I brushed [my] teeth.	J'ai brossé [mes] dents.	J'ai [mon] brossé [les] dents.	J' ai brossé [mes] dents.	Je [me] suis brossé [les] dents.	Je [me] suis brossé [les] dents.
S25c			You brushed [your] teeth.	Vous avez brossé [vos] dents.	Vous avez brossé [les] dents.	vous avez brossé [vos] dents.	Tu as brossé [les] dents.	Tu [t']es brossé [les] dents
S25d			I raised [my] hand.	J'ai levé [la] main.	J'ai levé [la] main.	J'ai soulevé [ma]main.	Je levai [la] main.	J'ai levé [la] main.
S25e			He turned [his] head.	Il a transformé [sa] tête.	Il a tourné [la] tête.	Il a tourné [sa] tête.	Il tourna [la] tête.	Il a tourné [la] tête.
			He raised his eyes to heaven.	Il a évoqué [les] yeux au ciel.	Il a levé [ses] yeux vers le ciel.	Il a levé [les] yeux sur le ciel.	Il leva [les] yeux au ciel.	Il leva [les] yeux au ciel.
								
S26a	Syn 9: Zero REL PRO	Is the Englisl NULL relative pronoun correctly rendered in the French translation?	The strangers [] the woman saw were working.	Les étrangers [] la femme vit travaillaient.	Les inconnus [] virent la femme travaillaient.	Les inconnus [de] la femme ont travaillé.	Les étrangers [que] la femme vit travaillaient.	Les inconnus [que] la femme vit travaillaient.
S26b			The man [] your sister hates is evil.	L'homme [] ta soeur hait est le mal.	L'homme [] hait votre sœur est le mal.	L' homme [que] ta soeur est le mal est le mal.	L'homme [que] votre sœur hait est méchant.	L'homme [que] votre sœur déteste est méchant.
S26c			The girl [] my friend was talking about is gone.	La jeune fille [] mon ami a parlé a disparu.	La jeune fille [] a parlé de mon ami est parti.	La petite fille [de] mon ami était révolue.	La fille [dont] mon ami parlait est partie.	La fille [dont] mon ami parlait est partie.
