ID	LING. ISSUE	QUESTION	SOURCE	REFERENCE	System1	System2	System3	System4	System1 id	System2 id	System3 id	System4 id
S1a	Morpho-Syn 1: S-V agreement, across distractors	Is subject-verb agrement correct? (Possible interference distractors between the subject's head and the verb).	The repeated calls from his mother [should] have alerted us.	Les appels répétés de sa mère [auraient] dû nous alerter.	Les appels répétés de sa mère auraient dû nous alerter.	Les appels répétés de sa mère aurait dû nous a alertés.	Les appels répétés de sa mère aurait dû nous a alertés.	Les appels répétés de sa mère devraient nous avoir alertés.	Google's NMT (March 2017)	NRC PBMT2	NRC PBMT	NRC's NMT
S1b	Morpho-Syn 1: S-V agreement, across distractors	Is subject-verb agrement correct? (Possible interference distractors between the subject's head and the verb).	The sudden noise in the upper rooms [should] have alerted us.	Le bruit soudain dans les chambres supérieures [aurait] dû nous alerter.	Le bruit soudain dans les chambres supérieures auraient dû nous a alertés.	Le bruit soudain dans les chambres supérieures devrait nous avoir alerté.	Le bruit soudain dans les chambres supérieures auraient dû nous a alertés.	Le bruit soudain dans les chambres supérieures devrait nous avoir alerté.	NRC PBMT2	Google's NMT (March 2017)	NRC PBMT	NRC's NMT
S1a	Morpho-Syn 1: S-V agreement, across distractors	Is subject-verb agrement correct? (Possible interference distractors between the subject's head and the verb).	Their repeated failures to report the problem [should] have alerted us.	Leurs échecs répétés à signaler le problème [auraient] dû nous alerter.	Leurs échecs répétés de signaler le problème aurait dû nous a alertés.	Leurs échecs répétés pour signaler le problème devraient nous avoir alertés.	Leurs échecs répétés à signaler le problème aurait dû nous a alertés.	Leur échec répété à signaler le problème aurait dû nous alerter.	NRC PBMT	NRC's NMT	NRC PBMT2	Google's NMT (March 2017)
S2a	Morpho-Syn 2: S-V agreement, through control verbs	Does the flagged adjective agree correctly with its subject? (Subject-control versus object-control verbs).	She asked her brother not to be [arrogant].	Elle a demandé à son frère de ne pas se montrer [arrogant].	Elle a demandé à son frère de ne pas être arrogant.	Elle a demandé à son frère de ne pas être arrogants.	Elle a demandé à son frère de ne pas être arrogant.	Elle a demandé à son frère de ne pas être arrogant.	Google's NMT (March 2017)	NRC PBMT2	NRC PBMT	NRC's NMT
S2b	Morpho-Syn 2: S-V agreement, through control verbs	Does the flagged adjective agree correctly with its subject? (Subject-control versus object-control verbs).	She promised her brother not to be [arrogant].	Elle a promis à son frère de ne pas être [arrogante].	Elle a promis à son frère de ne pas être arrogant .	Elle a promis son frère de ne pas être arrogants.	Elle a promis son frère à ne pas être arrogant.	Elle a promis à son frère de ne pas être arrogant.	NRC's NMT	NRC PBMT2	NRC PBMT	Google's NMT (March 2017)
S2c	Morpho-Syn 2: S-V agreement, through control verbs	Does the flagged adjective agree correctly with its subject? (Subject-control versus object-control verbs).	She promised her doctor to remain [active] after retiring.	Elle a promis à son médecin de demeurer [active] après s'être retirée.	Elle a promis son médecin de demeurer active après sa retraite.	Elle a promis son médecin pour demeurer actif après sa retraite.	Elle a promis à son médecin de rester actif après sa retraite.	Elle a promis à son médecin de rester actif après sa retraite.	NRC PBMT2	NRC PBMT	NRC's NMT	Google's NMT (March 2017)
S2d	Morpho-Syn 2: S-V agreement, through control verbs	Does the flagged adjective agree correctly with its subject? (Subject-control versus object-control verbs).	My mother promised my father to be more [prudent] on the road.	Ma mère a promis à mon père d'être plus [prudente] sur la route.	Ma mère a promis à mon père d'être plus prudent sur la route.	Ma mère , mon père a promis d'être plus prudent sur la route.	Ma mère a promis à mon père d'être plus prudent sur la route.	Ma mère , mon père a promis d'être plus prudent sur la route.	Google's NMT (March 2017)	NRC PBMT	NRC's NMT	NRC PBMT2
S3a	Morpho-Syn 3: S-V agreement, coordinated targets	Do the marked verbs/adjective agree correctly with their subject? (Agreement distribution over coordinated predicates)	The woman was very [tall] and extremely [strong].	La femme était très [grande] et extrêmement [forte].	La femme était très gentil et extrêmement forte.	La femme était très grande et extrêmement forte.	La femme était très gentil et très fort.	La femme était très haute et extrêmement forte.	NRC PBMT	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT
S3b	Morpho-Syn 3: S-V agreement, coordinated targets	Do the marked verbs/adjective agree correctly with their subject? (Agreement distribution over coordinated predicates)	Their politicians were more [ignorant] than [stupid].	Leurs politiciens étaient plus [ignorants] que [stupides].	Les politiciens étaient plus ignorants que stupide.	Leurs politiciens étaient plus ignorants que stupides.	Les politiciens étaient plus ignorants que stupide.	Leurs politiciens étaient plus ignorants que stupides.	NRC PBMT	NRC's NMT	NRC PBMT2	Google's NMT (March 2017)
S3c	Morpho-Syn 3: S-V agreement, coordinated targets	Do the marked verbs/adjective agree correctly with their subject? (Agreement distribution over coordinated predicates)	We [shouted] an insult and [left] abruptly.	Nous [avons] lancé une insulte et nous [sommes] partis brusquement.	Nous avons crié une insulte et nous sommes partis brusquement.	Nous avons crié une insulte et a quitté abruptement.	Nous avons crié une insulte et nous avons laissé brusquement.	Nous avons crié une insulte et a laissé brutalement.	Google's NMT (March 2017)	NRC PBMT	NRC's NMT	NRC PBMT2
S4a1	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Masculine singular ET masculine singular yields masculine plural).	The cat and the dog [should] be [watched].	Le chat et le chien [devraient] être [surveillés].	Le chat et le chien doivent être surveillés.	Le chat et le chien doivent être regardés.	Le chat et le chien doit être regardée.	Le chat et le chien doit être regardée.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT	NRC PBMT2
S4a2 	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Masculine singular ET masculine singular yields masculine plural).	My father and my brother [will] be [happy] tomorrow.	Mon père et mon frère [seront] [heureux] demain.	Mon père et mon frère seront heureux demain.	Mon père et mon frère se fera un plaisir de demain.	Mon père et mon frère sera heureux de demain.	Mon père et mon frère seront heureux demain.	Google's NMT (March 2017)	NRC PBMT2	NRC PBMT	NRC's NMT
S4a3	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Masculine singular ET masculine singular yields masculine plural).	My book and my pencil [could] be [stolen].	Mon livre et mon crayon [pourraient] être [volés].	Mon livre et mon crayon pourraient être volés.	Mon livre et mon crayon pourrait être volé.	Mon livre et mon crayon pourraient être volés.	Mon livre et mon crayon pourrait être volé.	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT	NRC PBMT
S4b1	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjectives agree correctly with their subject? (Feminine singular ET feminine singular yields feminine plural).	The cow and the hen [must] be [fed].	La vache et la poule [doivent] être [nourries].	La vache et la poule doivent être nourries.	la vache et la poule doivent être alimentées.	La vache et de la poule doivent être nourris.	La vache et de la poule doivent être nourris.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2	NRC PBMT
S4b2	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjectives agree correctly with their subject? (Feminine singular ET feminine singular yields feminine plural).	My mother and my sister [will be happy] tomorrow.	Ma mère et ma sœur [seront heureuses] demain.	Ma mère et ma sœur seront heureuses demain.	Ma mère et ma sœur seront heureuses demain.	Ma mère et ma soeur se fera un plaisir de demain.	Ma mère et ma sœur sera heureux de demain.	NRC's NMT	Google's NMT (March 2017)	NRC PBMT2	NRC PBMT
S4b3	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjectives agree correctly with their subject? (Feminine singular ET feminine singular yields feminine plural).	My shoes and my socks [will] be [found].	Mes chaussures et mes chaussettes [seront] [retrouvées].	Mes chaussures et mes chaussettes seront trouvées.	Mes chaussures et mes chaussettes sera trouvé .	Mes chaussures et mes chaussettes sera trouvé .	Mes chaussures et mes chaussettes seront trouvées.	NRC's NMT	NRC PBMT	NRC PBMT2	Google's NMT (March 2017)
S4c1	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjectives agree correctly with their subject? (Masculine singular ET feminine singular yields masculine plural.)	The dog and the cow [are] [nervous].	Le chien et la vache [sont] [nerveux].	Le chien et la vache sont nerveux.	Le chien et la vache sont nerveux.	Le chien et la vache sont nerveux.	Le chien et la vache sont nerveux.	NRC PBMT	NRC's NMT	Google's NMT (March 2017)	NRC PBMT2
S4c2	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjectives agree correctly with their subject? (Masculine singular ET feminine singular yields masculine plural.)	My father and my mother  will  be happy tomorrow.	Mon père et ma mère [seront] [heureux] demain.	Mon père et ma mère se fera un plaisir de demain.	Mon père et ma mère seront heureux demain.	Mon père et ma mère seront heureux demain.	Mon père et ma mère se fera un plaisir de demain.	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)	NRC PBMT
S4c3	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjectives agree correctly with their subject? (Masculine singular ET feminine singular yields masculine plural.)	My refrigerator and my kitchen table [were] [stolen].	Mon réfrigérateur et ma table de cuisine [ont] été [volés].	Mon réfrigérateur et ma table de cuisine ont été volés.	Mon réfrigérateur et ma table de cuisine ont été volés.	Mon réfrigérateur et ma table de cuisine ont été volés.	Mon réfrigérateur et ma table de cuisine ont été volés.	Google's NMT (March 2017)	NRC PBMT	NRC PBMT2	NRC's NMT
S4d1	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjectives agree correctly with their subject? (Smallest coordinated grammatical person wins.)	Paul and I [could] easily be [convinced] to join you.	Paul et moi [pourrions] facilement être [convaincus] de se joindre à vous.	Paul et je pourrais facilement être persuadée de se joindre à vous.	Paul et moi avons facilement pu être convaincus de vous rejoindre.	Paul et moi pourrait facilement être convaincu de vous rejoindre.	Paul et je pourrais facilement être convaincus de se joindre à vous.	NRC PBMT	NRC's NMT	Google's NMT (March 2017)	NRC PBMT2
S4d2	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjectives agree correctly with their subject? (Smallest coordinated grammatical person wins.)	You and he [could] be [surprised] by her findings.	Vous et lui [pourriez]  être [surpris] par ses découvertes.	Vous et lui pourrait être surpris par ses découvertes.	Vous et lui pourriez être surpris par ses conclusions.	Vous et qu'il pouvait être surpris par ses conclusions.	Vous et qu'il pouvait être surpris par ses conclusions.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2	NRC PBMT
S4d3	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjectives agree correctly with their subject? (Smallest coordinated grammatical person wins.)	We and they [are] on different courses.	Nous et eux [sommes] sur des trajectoires différentes.	Nous et ils sont en cours différents.	Nous et ils sont sur des parcours différents.	Nous et nous sommes sur des parcours différents.	Nous et ils sont en cours de différents.	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT	NRC PBMT
S5a	Morpho-Syn 5: S-V agreement, past participles	Are the agreement marks of the flagged participles the correct ones? (Past participle placed after auxiliary AVOIR agrees with verb object iff object precedes auxiliary. Otherwise participle is in masculine singular form).	The woman who [saw] a mouse in the corridor is charming.	La femme qui a [vu] une souris dans le couloir est charmante.	La femme qui a vu une souris dans le couloir est charmante.	La femme qui a vu une souris dans le couloir est charmante.	La femme qui a vu une souris dans le couloir est charmante.	La femme qui a vu une souris dans le couloir est charmante.	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)	NRC PBMT
S5b	Morpho-Syn 5: S-V agreement, past participles	Are the agreement marks of the flagged participles the correct ones? (Past participle placed after auxiliary AVOIR agrees with verb object iff object precedes auxiliary. Otherwise participle is in masculine singular form).	The woman that your brother [saw] in the corridor is charming.	La femme que votre frère a [vue] dans le couloir est charmante.	La femme que votre frère a vue dans le couloir est charmante.	La femme que ton frère a vu dans le couloir est charmante.	La femme que votre frère a vu dans le corridor est charmante.	La femme que ton frère a vu dans le couloir est charmante.	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT	NRC PBMT
S5c	Morpho-Syn 5: S-V agreement, past participles	Are the agreement marks of the flagged participles the correct ones? (Past participle placed after auxiliary AVOIR agrees with verb object iff object precedes auxiliary. Otherwise participle is in masculine singular form).	The house that John has [visited] is crumbling.	La maison que John a [visitée] tombe en ruines.	La maison que John a visité est en ruine.	La maison que John a visité s'effritent.	La maison que John a visité est en train de s'écrouler.	La maison que John a visitée est en train de s' effondrer.	Google's NMT (March 2017)	NRC PBMT2	NRC PBMT	NRC's NMT
S5d	Morpho-Syn 5: S-V agreement, past participles	Are the agreement marks of the flagged participles the correct ones? (Past participle placed after auxiliary AVOIR agrees with verb object iff object precedes auxiliary. Otherwise participle is in masculine singular form).	John sold the car that he had [won] in a lottery.	John a vendu la voiture qu' il avait [gagnée] dans une loterie.	John a vendu la voiture qu'il avait gagné à la loterie.	John a vendu la voiture qu' il avait gagnée dans une loterie.	John a vendu la voiture qu'il avait gagné à la loterie.	John a vendu la voiture qu' il avait gagnée dans une loterie.	NRC PBMT	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT
S6a	Morpho-Syn 6: Subjunctive mood	Is the flagged verb in the correct mood? (Certain triggering verbs, adjectives or subordinate conjunctions, induce the subjunctive mood in the subordinate clause that they govern). 	He will come provided that you [come] too.	Il viendra à condition que vous [veniez] aussi.	Il viendra lui aussi que vous le faites.	Il viendra à condition que vous venez de trop.	Il viendra à condition que vous venez aussi.	Il viendra à condition que vous venez aussi.	NRC's NMT	NRC PBMT2	NRC PBMT	Google's NMT (March 2017)
S6b	Morpho-Syn 6: Subjunctive mood	Is the flagged verb in the correct mood? (Certain triggering verbs, adjectives or subordinate conjunctions, induce the subjunctive mood in the subordinate clause that they govern). 	It is unfortunate that he is not [coming] either.	Il est malheureux qu'il ne [vienne] pas non plus.	Il est regrettable qu'il n'est pas non plus à venir.	Il est regrettable qu'il n'est pas non plus à venir.	Il est malheureux qu'il ne vienne pas non plus.	Il est regrettable qu' il ne soit pas non plus.	NRC PBMT2	NRC PBMT	Google's NMT (March 2017)	NRC's NMT
S6c	Morpho-Syn 6: Subjunctive mood	Is the flagged verb in the correct mood? (Certain triggering verbs, adjectives or subordinate conjunctions, induce the subjunctive mood in the subordinate clause that they govern). 	I requested that families not [be] separated.	J'ai demandé que les familles ne [soient] pas séparées.	J'ai demandé que les familles ne soient pas séparées.	J'ai demandé que les familles ne soient pas séparées.	J'ai demandé que les familles ne soient pas séparées.	J'ai demandé que les familles ne soient pas séparées.	Google's NMT (March 2017)	NRC PBMT	NRC PBMT2	NRC's NMT
S7a	Lex-Syn 1: Argument switch	Are the experiencer and the object of the "missing" situation correctly preserved in the French translation? (Argument switch).	[Mary] sorely misses [Jim].	[Jim] manque cruellement [à Mary].	Mary manque cruellement à Jim.	Mary a lamentablement manqué de Jim .	Marie manque cruellement de Jim.	Marie manque cruellement de Jim.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT	NRC PBMT2
S7b	Lex-Syn 1: Argument switch	Are the experiencer and the object of the "missing" situation correctly preserved in the French translation? (Argument switch).	[My sister] is really missing [New York.]	[New York] manque beaucoup [à ma sœur].	Ma sœur n'est vraiment pas New York.	Ma sœur est vraiment manquante à New York.	Ma sœur est vraiment absent de New York.	Ma sœur manque vraiment New York.	NRC PBMT2	NRC's NMT	NRC PBMT	Google's NMT (March 2017)
S7c	Lex-Syn 1: Argument switch	Are the experiencer and the object of the "missing" situation correctly preserved in the French translation? (Argument switch).	What [he] misses most is [his dog].	Ce qui [lui] manque le plus, c'est [son chien].	Ce qu'il manque le plus, c'est son chien.	Ce qu'il manque le plus, c'est son chien.	Ce qu'il manque le plus, c'est son chien.	Ce qu'il manque le plus, c'est son chien.	NRC PBMT	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT
S8a	Lex-Syn 2: Double-object verbs	Are "gift" and "recipient" arguments correctly rendered in French? (English double-object constructions)	John gave [his wonderful wife] a nice present.	John a donné un beau présent [à sa merveilleuse épouse].	John a donné à sa merveilleuse femme un beau cadeau.	John a donné sa merveilleuse femme un beau cadeau.	John a donné sa merveilleuse femme un beau cadeau.	John a donné à son épouse merveilleuse un présent gentil.	NRC's NMT	NRC PBMT2	NRC PBMT	Google's NMT (March 2017)
S8b	Lex-Syn 2: Double-object verbs	Are "gift" and "recipient" arguments correctly rendered in French? (English double-object constructions)	John told [the kids] a nice story.	John a raconté une belle histoire [aux enfants].	John a dit aux enfants une belle histoire.	John a dit aux enfants une belle histoire.	John a raconté aux enfants une belle histoire.	John a raconté aux enfants une belle histoire.	NRC PBMT	NRC's NMT	Google's NMT (March 2017)	NRC PBMT2
S8c	Lex-Syn 2: Double-object verbs	Are "gift" and "recipient" arguments correctly rendered in French? (English double-object constructions)	John sent [his mother] a nice postcard.	John a envoyé une belle carte postale [à sa mère].	John a envoyé sa mère une belle carte postale.	John envoya à sa mère une belle carte postale.	John a envoyé sa mère une carte postale de nice.	John a envoyé sa mère une carte postale de nice.	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT	NRC PBMT
S9a	Lex-Syn 3: Fail to	Is the meaning of "fail to" correctly rendered in the French translation? 	John [failed to] see the relevance of this point.	John [n'a pas] vu la pertinence de ce point.	John a omis de voir la pertinence de ce point.	John n'a pas vu la pertinence de ce point.	John n'a pas su voir la pertinence de ce point.	John a omis de voir la pertinence de ce point.	NRC PBMT	NRC's NMT	NRC PBMT2	Google's NMT (March 2017)
S9b	Lex-Syn 3: Fail to	Is the meaning of "fail to" correctly rendered in the French translation? 	He failed to respond.	Il [n'a pas répondu].	Il n'a pas réussi à répondre.	Il n'a pas répondu.	Il n'a pas répondu.	Il n'a pas répondu.	NRC PBMT	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)
S9c	Lex-Syn 3: Fail to	Is the meaning of "fail to" correctly rendered in the French translation? 	Those who fail to comply with this requirement will  be penalized.	Ceux qui [ne] se conforment [pas] à cette exigence seront pénalisés.	Ceux qui ne se conforment pas à cette exigence sera pénalisé.	Ceux qui ne respectent pas cette exigence seront pénalisés.	Ceux qui ne se conforment pas à cette obligation seront pénalisés.	Ceux qui ne se conforment pas à cette obligation seront pénalisés.	NRC PBMT2	Google's NMT (March 2017)	NRC PBMT	NRC's NMT
S10a	Lex-Syn 4: Manner-of-movement verbs	Is the movement action expressed in the English source correctly rendered in French? (Manner-of-movement verbs with path argument may need to be rephrased in French).	John would like to [swim across] the river.	John aimerait [traverser] la rivière [à la nage].	John voudrait se baigner dans la rivière.	John aimerait nager à travers la rivière.	John aimerait nager à travers la rivière.	John aimerait nager dans la rivière.	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT	NRC PBMT
S10b	Lex-Syn 4: Manner-of-movement verbs	Is the movement action expressed in the English source correctly rendered in French? (Manner-of-movement verbs with path argument may need to be rephrased in French).	They [ran into] the room.	Ils [sont entrés] dans la chambre [à la course].	Ils ont couru dans la pièce.	Ils coururent dans la pièce.	Ils ont couru dans la chambre.	Ils ont couru dans la pièce.	NRC PBMT2	Google's NMT (March 2017)	NRC PBMT	NRC's NMT
S10c	Lex-Syn 4: Manner-of-movement verbs	Is the movement action expressed in the English source correctly rendered in French? (Manner-of-movement verbs with path argument may need to be rephrased in French).	The man [ran out of] the park.	L'homme [est sorti du] parc [en courant].	L'homme a manqué du parc.	L'homme a manqué du parc.	L'homme sortit du parc.	L' homme s' enfuit du parc.	NRC PBMT	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT
S10d	Lex-Syn 4: Manner-of-movement verbs	Hard example featuring spontaneous noun-to-verb derivation ("nonce verb").	John [guitared his way] to San Francisco.	John [s'est rendu] jusqu'à San Francisco [en jouant de la guitare].	John guitared sa route à San Francisco.	John guitared son chemin à San Francisco.	John a guité son chemin à San Francisco.	John guitared sa voie à San Francisco.	NRC's NMT	NRC PBMT	Google's NMT (March 2017)	NRC PBMT2
S11a	Lex-Syn 5: Overlapping subcat frames	Is the French verb for "know" correctly chosen? (Choice between "Savoir"/"connaître"  depends on syntactic nature of its object)	Paul [knows] that this is a fact.	Paul [sait que] c'est un fait.	Paul sait que c'est un fait.	Paul sait que c'est un fait.	Paul sait que c'est un fait.	Paul sait que c'est un fait.	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT	NRC PBMT
S11b	Lex-Syn 5: Overlapping subcat frames	Is the French verb for "know" correctly chosen? (Choice between "Savoir"/"connaître"  depends on syntactic nature of its object)	Paul [knows] this story.	Paul [connaît] cette histoire.	Paul connaît cette histoire.	Paul connaît cette histoire.	Paul connaît cette histoire.	Paul connaît cette histoire.	NRC's NMT	NRC PBMT	NRC PBMT2	Google's NMT (March 2017)
S11c	Lex-Syn 5: Overlapping subcat frames	Is the French verb for "know" correctly chosen? (Choice between "Savoir"/"connaître"  depends on syntactic nature of its object)	Paul [knows] this story is hard to believe.	Paul [sait que] cette histoire est difficile à croire.	Paul connaît cette histoire est difficile à croire.	Paul sait que cette histoire est difficile à croire.	Paul sait que cette histoire est difficile à croire.	Paul connaît cette histoire est difficile à croire.	NRC PBMT	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2
S11d	Lex-Syn 5: Overlapping subcat frames	Is the French verb for "know" correctly chosen? (Choice between "Savoir"/"connaître"  depends on syntactic nature of its object)	He [knows] my sister will not take it.	Il [sait que] ma soeur ne le prendra pas.	Il sait que ma soeur ne prendra pas.	Il sait que ma soeur ne prendra pas.	Il sait que ma soeur ne le prendra pas.	Il sait que ma soeur ne le prendra pas.	NRC PBMT2	NRC PBMT	NRC's NMT	Google's NMT (March 2017)
S11e	Lex-Syn 5: Overlapping subcat frames	Is the French verb for "know" correctly chosen? (Choice between "Savoir"/"connaître"  depends on syntactic nature of its object)	My sister [knows] your son is reliable.	Ma sœur [sait que] votre fils est fiable.	Ma soeur connaît votre fils est fiable.	Ma sœur sait que votre fils est fiable.	Ma soeur connaît votre fils est fiable.	Ma sœur sait que votre fils est fiable.	NRC PBMT	NRC's NMT	NRC PBMT2	Google's NMT (March 2017)
S12a	Lex-Syn 6: NP to VP	Is the English "NP to VP" complement correctly rendred in the French translation? (Sometimes one needs to translate this structure as a finite clause).	John believes [Bill to be dishonest].	John croit [que Bill est malhonnête].	John estime que le projet de loi d'être malhonnête.	John estime que le projet de loi soit malhonnête.	John croit que le projet de loi est malhonnête.	John croit que Bill est malhonnête.	NRC PBMT2	NRC PBMT	NRC's NMT	Google's NMT (March 2017)
